customer_id,product_id,interaction_type,interaction_date
C8366,P4578,purchased,2024-11-23
C3746,P5710,viewed,2024-09-02
C6946,P2119,purchased,2024-04-21
C1627,P4962,clicked,2024-12-01
C2344,P9494,purchased,2024-06-08
C1140,P3915,purchased,2024-03-15
C6989,P4447,clicked,2024-07-30
C9434,P1214,viewed,2024-01-17
C6606,P1779,viewed,2024-11-11
C5458,P2351,purchased,2024-02-03
C7435,P6427,clicked,2024-05-12
C4883,P7938,purchased,2024-09-23
C8661,P9684,clicked,2024-08-30
C8366,P4281,purchased,2024-01-10
C7647,P2353,viewed,2024-07-22
C5961,P5805,clicked,2024-11-08
C4830,P1229,clicked,2024-10-24
C7048,P2146,viewed,2024-03-13
C3053,P9914,purchased,2024-08-29
C2886,P5005,viewed,2024-09-19
C5905,P3024,clicked,2024-07-27
C6606,P1718,clicked,2024-06-04
C3053,P3408,clicked,2024-06-08
C9304,P1248,purchased,2024-08-07
C4935,P4024,viewed,2024-07-10
C9338,P7230,viewed,2024-11-04
C5310,P5927,clicked,2024-01-11
C4044,P2528,viewed,2024-05-27
C6463,P6966,clicked,2024-01-19
C4251,P9541,clicked,2024-05-06
C5227,P8942,purchased,2024-06-13
C5458,P9800,viewed,2024-06-12
C3746,P1810,purchased,2024-11-09
C1273,P1547,viewed,2024-03-05
C1673,P3701,clicked,2024-02-26
C1648,P3408,purchased,2024-10-15
C4799,P8121,viewed,2024-10-17
C1273,P1819,purchased,2024-06-09
C7435,P3824,viewed,2024-12-21
C5715,P9151,clicked,2024-02-16
C7186,P3458,purchased,2024-08-01
C1304,P7194,viewed,2024-12-05
C7048,P9785,viewed,2024-11-21
C1413,P3001,viewed,2024-06-14
C9615,P5211,purchased,2024-02-10
C7348,P6025,viewed,2024-10-29
C3365,P3828,purchased,2024-01-19
C7348,P5654,clicked,2024-03-10
C2447,P6280,clicked,2024-11-27
C5607,P3764,clicked,2024-04-03
C4802,P6553,purchased,2024-05-24
C9535,P9940,purchased,2024-04-25
C3565,P1526,viewed,2024-08-27
C9339,P2202,purchased,2024-04-08
C7193,P2444,purchased,2024-04-19
C1827,P5264,clicked,2024-10-28
C9304,P5222,viewed,2024-01-29
C3565,P4622,viewed,2024-04-10
C5961,P1758,clicked,2024-03-23
C5715,P4024,purchased,2024-07-12
C2447,P5752,clicked,2024-05-22
C9615,P4578,viewed,2024-05-23
C9131,P9352,viewed,2024-04-23
C1527,P8986,clicked,2024-05-04
C6606,P7132,clicked,2024-12-19
C1464,P2146,clicked,2024-08-10
C3565,P8680,purchased,2024-09-20
C8847,P9800,viewed,2024-06-29
C8274,P5659,clicked,2024-02-10
C8661,P7822,viewed,2024-08-15
C6862,P8082,viewed,2024-05-07
C5912,P1300,clicked,2024-06-03
C2447,P5032,clicked,2024-07-04
C1827,P8142,viewed,2024-11-11
C1965,P3602,purchased,2024-04-05
C4883,P7638,viewed,2024-02-28
C1673,P5752,clicked,2024-02-21
C2344,P3319,clicked,2024-02-20
C5860,P4381,clicked,2024-09-14
C5458,P6427,viewed,2024-06-22
C4251,P4599,purchased,2024-07-06
C1827,P9731,clicked,2024-01-10
C1438,P3630,viewed,2024-10-25
C4999,P9149,purchased,2024-11-02
C9535,P7399,clicked,2024-12-16
C9653,P5927,viewed,2024-03-01
C3896,P6479,clicked,2024-03-10
C4530,P3915,clicked,2024-04-21
C4799,P6796,viewed,2024-06-18
C6606,P4109,viewed,2024-09-02
C7193,P8142,purchased,2024-08-21
C5772,P4962,clicked,2024-07-20
C1527,P3620,purchased,2024-12-08
C1166,P9415,purchased,2024-07-15
C6461,P8986,viewed,2024-07-02
C8433,P7953,viewed,2024-09-06
C4799,P6867,purchased,2024-10-14
C8661,P4334,clicked,2024-02-08
C3053,P8531,viewed,2024-09-21
C5256,P8239,clicked,2024-07-11
C5860,P3991,viewed,2024-04-28
C8619,P7941,viewed,2024-10-31
C5912,P9459,viewed,2024-10-14
C4044,P9541,viewed,2024-01-30
C9412,P6079,clicked,2024-04-19
C9615,P8239,purchased,2024-06-14
C7647,P6667,clicked,2024-01-11
C8661,P2778,viewed,2024-12-19
C4616,P7542,purchased,2024-06-03
C4940,P7916,viewed,2024-06-24
C3501,P9241,clicked,2024-02-20
C7048,P3831,viewed,2024-02-20
C3816,P1526,clicked,2024-08-06
C7048,P9895,clicked,2024-02-20
C5905,P8007,viewed,2024-03-21
C3816,P3974,clicked,2024-06-05
C4935,P7616,clicked,2024-09-21
C3565,P3958,purchased,2024-12-09
C2344,P2893,purchased,2024-06-17
C8642,P3393,clicked,2024-06-03
C1673,P2144,viewed,2024-07-02
C3793,P1761,viewed,2024-06-13
C3497,P3679,purchased,2024-08-13
C9338,P8297,viewed,2024-07-12
C7193,P9047,viewed,2024-11-01
C3555,P5170,purchased,2024-09-13
C7186,P4445,purchased,2024-12-01
C4251,P2796,purchased,2024-06-19
C4506,P3991,clicked,2024-04-30
C5310,P3701,viewed,2024-10-03
C9393,P3620,viewed,2024-01-05
C4830,P7053,viewed,2024-07-19
C1527,P2457,purchased,2024-11-08
C3583,P3974,clicked,2024-10-21
C7318,P8619,clicked,2024-03-02
C9412,P4512,clicked,2024-05-06
C2389,P6989,clicked,2024-02-13
C9304,P5714,viewed,2024-08-02
C2447,P3393,viewed,2024-07-10
C7193,P1761,clicked,2024-01-17
C3501,P3539,viewed,2024-10-17
C5458,P1948,clicked,2024-01-13
C4935,P9047,purchased,2024-05-19
C5227,P5209,clicked,2024-03-07
C3555,P6059,clicked,2024-10-19
C4802,P6305,purchased,2024-07-16
C2886,P6989,viewed,2024-06-07
C1464,P9225,clicked,2024-05-07
C5227,P6966,clicked,2024-04-16
C6652,P7908,clicked,2024-11-23
C3746,P8093,clicked,2024-01-20
C6606,P9271,viewed,2024-12-18
C5458,P3730,clicked,2024-11-20
C8661,P4267,viewed,2024-09-11
C8642,P7748,viewed,2024-08-21
C7318,P7542,purchased,2024-07-15
C1413,P8290,purchased,2024-06-28
C4530,P4599,purchased,2024-08-14
C5772,P4959,purchased,2024-02-04
C3793,P6079,clicked,2024-02-07
C8619,P8393,purchased,2024-06-18
C9131,P1229,clicked,2024-11-20
C3501,P1099,viewed,2024-03-29
C8901,P9352,viewed,2024-12-03
C6989,P4933,viewed,2024-08-16
C7193,P2980,viewed,2024-10-09
C2389,P4937,purchased,2024-07-09
C9338,P3870,clicked,2024-01-03
C4044,P6069,viewed,2024-09-13
C6461,P2824,purchased,2024-07-27
C9338,P6342,purchased,2024-04-26
C7647,P3974,purchased,2024-06-26
C1438,P6305,clicked,2024-09-27
C1527,P8754,viewed,2024-05-05
C6862,P7283,clicked,2024-12-17
C6862,P2437,clicked,2024-07-28
C2344,P6025,viewed,2024-09-03
C5310,P4922,viewed,2024-06-01
C5772,P3817,purchased,2024-08-17
C3261,P4578,clicked,2024-08-19
C4506,P9459,clicked,2024-04-28
C4830,P4418,clicked,2024-12-19
C4935,P5211,purchased,2024-11-21
C5715,P3042,purchased,2024-11-03
C9535,P3539,viewed,2024-01-05
C9792,P4556,viewed,2024-11-28
C7435,P2144,purchased,2024-02-16
C4530,P5514,clicked,2024-08-25
C7318,P8151,purchased,2024-06-29
C7348,P1657,clicked,2024-08-20
C9615,P3580,clicked,2024-09-20
C9535,P3102,purchased,2024-06-16
C8619,P3319,clicked,2024-12-14
C9304,P8142,viewed,2024-07-01
C8847,P5264,clicked,2024-03-28
C1673,P2548,viewed,2024-01-22
C9615,P8843,viewed,2024-04-10
C7318,P6692,viewed,2024-03-25
C4530,P1042,clicked,2024-04-03
C5772,P1526,clicked,2024-04-18
C3497,P8092,purchased,2024-04-02
C5458,P7283,clicked,2024-02-02
C6463,P8151,purchased,2024-10-30
C5772,P7283,viewed,2024-06-25
C5568,P4869,purchased,2024-07-30
C6862,P5107,clicked,2024-12-02
C3565,P7332,viewed,2024-08-30
C4935,P1821,purchased,2024-04-27
C4799,P9494,purchased,2024-07-07
C8366,P8793,clicked,2024-06-18
C2886,P2655,viewed,2024-01-25
C5912,P2957,purchased,2024-03-05
C1413,P9793,viewed,2024-10-20
C2447,P7729,purchased,2024-01-24
C4830,P6496,viewed,2024-05-21
C8661,P7908,purchased,2024-08-08
C1527,P8259,viewed,2024-07-11
C7186,P9515,purchased,2024-05-16
C3816,P2437,clicked,2024-10-23
C1673,P2940,clicked,2024-11-13
C3816,P5065,viewed,2024-11-08
C6946,P1718,purchased,2024-11-23
C3497,P3602,clicked,2024-07-04
C1140,P5589,viewed,2024-12-18
C5227,P7740,viewed,2024-01-05
C9338,P4795,purchased,2024-10-03
C3816,P1862,viewed,2024-11-21
C9792,P8061,clicked,2024-12-01
C6105,P8810,viewed,2024-03-30
C5905,P1810,clicked,2024-07-19
C3793,P3687,clicked,2024-04-28
C9338,P3650,purchased,2024-07-16
C9131,P4242,clicked,2024-08-10
C9338,P2957,clicked,2024-06-16
C1304,P5752,purchased,2024-10-07
C5772,P7822,purchased,2024-01-19
C1413,P9553,purchased,2024-04-19
C3946,P4848,clicked,2024-06-20
C2447,P7283,clicked,2024-02-19
C5715,P3014,purchased,2024-11-12
C4935,P3958,viewed,2024-05-10
C1527,P5005,viewed,2024-09-02
C8619,P8291,clicked,2024-04-25
C9653,P3679,clicked,2024-05-16
C2886,P7740,viewed,2024-12-17
C3946,P8018,clicked,2024-02-24
C8274,P8007,purchased,2024-02-18
C4616,P9737,clicked,2024-02-15
C1438,P7283,clicked,2024-11-16
C2447,P9149,purchased,2024-03-12
C5961,P3831,viewed,2024-07-16
C7435,P2438,viewed,2024-01-24
C7048,P1718,viewed,2024-10-16
C4616,P3958,clicked,2024-09-21
C7435,P5800,clicked,2024-01-27
C2447,P5032,purchased,2024-05-31
C1438,P6553,clicked,2024-05-26
C6946,P1042,viewed,2024-08-19
C4799,P1821,clicked,2024-07-10
C5905,P9494,clicked,2024-01-17
C4935,P1099,purchased,2024-09-25
C2447,P3954,clicked,2024-10-30
C3946,P8484,viewed,2024-11-23
C6461,P9494,viewed,2024-03-28
C8901,P3001,clicked,2024-12-19
C4883,P8082,viewed,2024-01-04
C5860,P8755,purchased,2024-01-04
C6105,P5729,clicked,2024-05-09
C3325,P2575,clicked,2024-10-07
C1828,P9724,clicked,2024-02-22
C1673,P6966,viewed,2024-02-10
C4999,P5605,purchased,2024-01-29
C4999,P6067,clicked,2024-06-21
C8366,P8544,clicked,2024-11-09
C9792,P1546,viewed,2024-06-15
C7348,P7132,purchased,2024-11-14
C6652,P4922,purchased,2024-11-28
C1166,P7645,purchased,2024-07-11
C5961,P6342,clicked,2024-06-08
C5458,P3107,clicked,2024-04-04
C2447,P1229,viewed,2024-01-07
C9338,P8007,clicked,2024-08-07
C8847,P3298,clicked,2024-03-04
C8310,P9785,purchased,2024-07-23
C6310,P7931,viewed,2024-03-08
C4044,P3176,viewed,2024-03-31
C1827,P3656,viewed,2024-10-08
C9338,P5939,clicked,2024-06-30
C3896,P7230,purchased,2024-11-11
C9535,P5832,clicked,2024-10-13
C4044,P5266,purchased,2024-09-12
C9131,P1718,clicked,2024-07-12
C6310,P3539,clicked,2024-09-13
C6946,P8633,purchased,2024-08-30
C6310,P1608,purchased,2024-07-20
C4830,P3669,viewed,2024-01-16
C8901,P7748,viewed,2024-03-09
C5118,P7108,clicked,2024-12-10
C1273,P3656,clicked,2024-10-06
C4940,P1099,clicked,2024-08-18
C9131,P2146,viewed,2024-05-16
C6310,P2318,purchased,2024-04-21
C3501,P2449,purchased,2024-06-13
C3746,P4418,clicked,2024-05-04
C8619,P1521,purchased,2024-12-17
C5912,P1589,viewed,2024-06-11
C7048,P5729,purchased,2024-02-18
C5607,P4447,purchased,2024-02-13
C5297,P2191,purchased,2024-02-29
C4799,P9047,purchased,2024-01-26
C9131,P3408,purchased,2024-06-07
C3896,P8151,viewed,2024-02-10
C7186,P1700,viewed,2024-05-13
C7348,P3685,clicked,2024-07-11
C3555,P7540,purchased,2024-08-02
C9694,P2824,purchased,2024-06-08
C3555,P7283,clicked,2024-11-02
C2886,P3566,clicked,2024-06-15
C5310,P6667,clicked,2024-11-01
C4506,P5041,viewed,2024-01-25
C3365,P4000,purchased,2024-06-17
C3816,P5032,purchased,2024-01-18
C9393,P7194,clicked,2024-03-17
C3793,P9800,clicked,2024-10-29
C6652,P1108,viewed,2024-10-31
C8366,P3679,viewed,2024-09-10
C5227,P3958,viewed,2024-01-29
C3763,P3685,clicked,2024-10-15
C6461,P1847,purchased,2024-03-04
C1827,P8999,clicked,2024-02-21
C5297,P8484,clicked,2024-10-17
C3555,P3701,clicked,2024-12-05
C4940,P1847,purchased,2024-10-18
C4883,P3492,clicked,2024-11-30
C9304,P9077,clicked,2024-05-11
C3896,P6959,purchased,2024-04-03
C9131,P6966,viewed,2024-12-02
C5772,P4381,viewed,2024-11-24
C8310,P4445,clicked,2024-07-11
C1673,P1388,clicked,2024-08-05
C4799,P2254,purchased,2024-02-28
C1140,P5927,clicked,2024-12-10
C7318,P7603,purchased,2024-02-26
C4799,P4402,purchased,2024-07-09
C2389,P5781,purchased,2024-04-30
C4940,P5589,viewed,2024-03-03
C4830,P4602,clicked,2024-04-20
C6461,P6817,clicked,2024-02-20
C4251,P2200,purchased,2024-04-02
C4935,P5939,clicked,2024-06-06
C5860,P9225,clicked,2024-11-30
C9653,P1099,purchased,2024-02-14
C6862,P5093,viewed,2024-01-27
C6310,P1382,viewed,2024-06-29
C3946,P7823,purchased,2024-07-03
C4044,P6879,viewed,2024-06-24
C9792,P1202,clicked,2024-09-07
C7193,P7327,purchased,2024-12-03
C6989,P6902,purchased,2024-08-04
C7318,P6101,clicked,2024-06-25
C9339,P1819,viewed,2024-05-23
C4940,P4061,purchased,2024-08-04
C8642,P4962,clicked,2024-12-10
C1673,P3958,purchased,2024-08-19
C5227,P1792,viewed,2024-10-22
C4251,P3580,clicked,2024-09-02
C5568,P4118,purchased,2024-09-28
C9653,P5294,viewed,2024-10-27
C8661,P3029,clicked,2024-03-31
C5256,P7378,viewed,2024-12-08
C7048,P2528,purchased,2024-05-27
C5905,P7240,clicked,2024-02-02
C8661,P6455,clicked,2024-05-01
C9653,P9505,purchased,2024-06-20
C8619,P3730,clicked,2024-05-03
C4799,P6966,purchased,2024-01-13
C1965,P4000,clicked,2024-06-15
C1140,P7645,clicked,2024-09-15
C4506,P3526,clicked,2024-12-10
C9131,P2144,viewed,2024-10-31
C6105,P2940,purchased,2024-10-03
C3583,P4556,purchased,2024-07-04
C7647,P8942,viewed,2024-06-05
C7435,P1388,viewed,2024-05-31
C5912,P8297,clicked,2024-01-30
C8661,P9287,clicked,2024-05-16
C1673,P7108,viewed,2024-08-19
C9615,P1087,clicked,2024-02-09
C1304,P1810,viewed,2024-01-14
C9792,P8913,purchased,2024-07-05
C4883,P1125,purchased,2024-02-11
C3816,P8007,clicked,2024-01-17
C3816,P4578,clicked,2024-12-04
C9434,P1847,clicked,2024-05-11
C1413,P9047,clicked,2024-05-20
C2389,P5170,clicked,2024-06-04
C3325,P4645,clicked,2024-02-05
C5256,P6553,viewed,2024-02-03
C7186,P7143,viewed,2024-04-08
C4506,P8942,purchased,2024-12-10
C1627,P4766,viewed,2024-09-14
C6461,P9969,viewed,2024-09-23
C5458,P3042,purchased,2024-02-11
C9535,P5170,viewed,2024-11-23
C1965,P9142,viewed,2024-09-19
C7193,P9515,clicked,2024-06-10
C3763,P2907,viewed,2024-06-01
C2886,P1200,clicked,2024-04-07
C2389,P5209,viewed,2024-01-06
C4044,P6902,purchased,2024-09-18
C7193,P6741,viewed,2024-10-14
C9535,P1300,clicked,2024-04-02
C5310,P4726,viewed,2024-08-14
C4616,P4128,viewed,2024-08-01
C3793,P3701,purchased,2024-11-28
C3946,P1700,viewed,2024-12-01
C7318,P3269,viewed,2024-02-05
C7348,P4918,purchased,2024-05-30
C7348,P1960,clicked,2024-11-23
C1827,P1718,viewed,2024-06-17
C8433,P5927,viewed,2024-07-30
C2389,P9247,clicked,2024-10-20
C7348,P6604,clicked,2024-06-23
C4940,P2670,clicked,2024-11-10
C2886,P5373,clicked,2024-06-20
C5772,P1692,clicked,2024-10-04
C2344,P2379,purchased,2024-05-23
C4506,P4645,viewed,2024-12-06
C2447,P6741,viewed,2024-03-09
C8847,P5785,purchased,2024-07-13
C1273,P6734,viewed,2024-01-01
C9653,P8677,purchased,2024-07-20
C5860,P4512,clicked,2024-01-04
C5567,P2543,purchased,2024-11-23
C3261,P8839,purchased,2024-10-02
C9535,P1718,viewed,2024-09-19
C6989,P1521,clicked,2024-06-02
C1965,P3768,purchased,2024-10-03
C3555,P4839,purchased,2024-01-27
C9792,P5627,purchased,2024-06-22
C1828,P2444,clicked,2024-07-31
C9535,P9494,purchased,2024-07-11
C3555,P1087,viewed,2024-07-05
C9434,P3408,viewed,2024-02-23
C1965,P3878,clicked,2024-12-02
C8310,P8755,purchased,2024-07-21
C9792,P6975,purchased,2024-10-25
C7348,P6817,viewed,2024-11-26
C2447,P7327,clicked,2024-09-10
C9393,P3757,clicked,2024-07-19
C4506,P1521,purchased,2024-04-29
C8642,P5041,clicked,2024-11-29
C5905,P9163,viewed,2024-10-05
C7193,P5052,viewed,2024-11-15
C5227,P6871,viewed,2024-06-15
C3555,P8793,clicked,2024-08-06
C7193,P9793,purchased,2024-08-02
C4940,P4959,clicked,2024-11-05
C1438,P5210,viewed,2024-03-19
C7193,P8393,viewed,2024-05-30
C9131,P5032,purchased,2024-07-15
C3583,P9553,clicked,2024-06-23
C5772,P7332,viewed,2024-03-02
C2344,P1938,clicked,2024-07-15
C8642,P9785,clicked,2024-11-29
C7186,P7730,clicked,2024-01-22
C3816,P2449,viewed,2024-02-09
C5905,P2318,viewed,2024-06-25
C6310,P7635,purchased,2024-09-16
C8642,P2457,viewed,2024-10-22
C8642,P4420,clicked,2024-08-24
C9792,P3001,clicked,2024-06-18
C5297,P2120,purchased,2024-04-03
C9434,P1042,viewed,2024-12-09
C4530,P1152,clicked,2024-04-20
C5955,P9793,clicked,2024-08-04
C3565,P4954,clicked,2024-11-12
C9653,P5107,purchased,2024-06-10
C2886,P9579,clicked,2024-12-04
C5227,P9510,purchased,2024-03-28
C4616,P5210,clicked,2024-09-21
C1648,P3824,clicked,2024-06-16
C3501,P4128,purchased,2024-04-26
C4530,P1382,clicked,2024-05-11
C3497,P3591,purchased,2024-02-26
C8661,P6067,purchased,2024-12-11
C9792,P9262,purchased,2024-08-22
C7318,P7283,viewed,2024-06-26
C6461,P7729,viewed,2024-03-25
C8642,P9047,viewed,2024-11-01
C8901,P7635,purchased,2024-06-14
C9412,P9163,clicked,2024-04-06
C5772,P6234,clicked,2024-09-10
C6989,P4057,viewed,2024-03-08
C6105,P3042,purchased,2024-02-11
C6652,P7822,viewed,2024-01-09
C4830,P2548,purchased,2024-05-16
C4506,P9352,viewed,2024-10-10
C7318,P4933,purchased,2024-06-24
C2389,P4872,clicked,2024-04-01
C4799,P9510,clicked,2024-04-14
C4616,P8290,clicked,2024-06-15
C9339,P3042,viewed,2024-03-12
C4940,P2940,purchased,2024-07-29
C5568,P2077,clicked,2024-03-26
C7193,P5714,clicked,2024-07-20
C5310,P5052,purchased,2024-01-01
C9338,P7813,clicked,2024-09-17
C3746,P5170,viewed,2024-01-12
C4940,P9459,viewed,2024-05-28
C4799,P3828,purchased,2024-06-29
C1648,P3458,purchased,2024-04-11
C8642,P3545,viewed,2024-01-11
C5297,P3580,viewed,2024-01-31
C3893,P2388,viewed,2024-09-03
C5227,P1108,purchased,2024-01-03
C3053,P4869,viewed,2024-05-05
C9339,P3507,viewed,2024-09-12
C5772,P8394,purchased,2024-11-29
C1827,P5065,viewed,2024-04-05
C1827,P4000,clicked,2024-09-09
C1413,P8082,viewed,2024-11-02
C9304,P4023,viewed,2024-11-11
C6989,P3800,clicked,2024-08-19
C8366,P6989,clicked,2024-08-17
C8310,P1152,viewed,2024-05-26
C4802,P6024,purchased,2024-07-24
C6946,P4267,purchased,2024-02-10
C1827,P3656,clicked,2024-08-04
C9338,P3958,viewed,2024-11-02
C1673,P8394,purchased,2024-01-02
C7186,P6025,viewed,2024-12-14
